                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 0.9193,                  1.168,                 1.3682,                0.57353,                0.42136,                0.47273,                0.31269,                 1.5096,                 1.9704,                 1.9843,             0.00028975,             0.00028975,             0.00028975
                    114,                 0.9032,                 1.1061,                 1.3643,                0.59872,                 0.4495,                0.47175,                0.31246,                 1.5049,                 1.9568,                 2.0137,             0.00028242,             0.00028242,             0.00028242
                    115,                0.91953,                 1.1284,                 1.3711,                0.50052,                 0.3944,                0.42738,                0.29132,                 1.5283,                 2.1821,                 2.0631,             0.00027508,             0.00027508,             0.00027508
                    116,                0.90056,                 1.1204,                 1.3676,                0.49419,                0.50138,                0.44986,                0.30831,                   1.52,                 2.0689,                 2.0432,             0.00026775,             0.00026775,             0.00026775
                    117,                0.89649,                 1.1123,                 1.3511,                0.54196,                0.43936,                0.45699,                0.31019,                 1.5071,                  1.921,                 2.0164,             0.00026042,             0.00026042,             0.00026042
                    118,                0.90554,                 1.1214,                 1.3592,                0.48244,                0.48929,                0.44804,                0.30348,                 1.4944,                 2.0462,                 1.9873,             0.00025309,             0.00025309,             0.00025309
                    119,                0.89094,                 1.1102,                 1.3504,                0.61666,                0.42854,                0.46789,                0.32337,                 1.4648,                 2.0354,                 1.9597,             0.00024575,             0.00024575,             0.00024575
                    120,                0.88627,                 1.0988,                 1.3404,                0.59741,                0.42034,                 0.4574,                0.30159,                  1.494,                 2.1421,                 2.0318,             0.00023842,             0.00023842,             0.00023842
                    121,                0.88715,                 1.0599,                 1.3487,                0.61287,                0.46946,                0.48967,                0.32987,                 1.4898,                 2.0356,                 1.9933,             0.00023109,             0.00023109,             0.00023109
                    122,                0.88399,                 1.0854,                 1.3425,                0.45239,                0.51311,                0.44575,                 0.3018,                 1.4589,                  2.081,                 1.9743,             0.00022376,             0.00022376,             0.00022376
                    123,                0.84444,                 1.0412,                 1.3293,                0.47031,                0.51231,                0.46459,                0.30403,                 1.5234,                   2.17,                 2.0649,             0.00021642,             0.00021642,             0.00021642
                    124,                0.88973,                 1.0775,                 1.3459,                0.46376,                0.49803,                0.44592,                0.30614,                 1.5026,                 2.0625,                 2.0244,             0.00020909,             0.00020909,             0.00020909
                    125,                0.86394,                 1.0525,                 1.3256,                0.50143,                0.48351,                0.46503,                 0.3132,                 1.4911,                 2.0077,                 1.9982,             0.00020176,             0.00020176,             0.00020176
                    126,                0.85654,                  1.038,                 1.3266,                0.44168,                0.48614,                0.44178,                0.30417,                 1.4989,                 2.0728,                 2.0216,             0.00019442,             0.00019442,             0.00019442
                    127,                0.85299,                 1.0308,                  1.321,                0.54682,                0.51525,                0.48631,                 0.3267,                 1.5317,                 2.0231,                 2.0258,             0.00018709,             0.00018709,             0.00018709
                    128,                0.84274,                 1.0044,                 1.3076,                0.47623,                0.53141,                0.48423,                   0.32,                 1.5051,                 2.0635,                 2.0222,             0.00017976,             0.00017976,             0.00017976
                    129,                0.82718,                 0.9759,                 1.3028,                0.58939,                0.50359,                0.48058,                0.32493,                 1.4987,                 2.0563,                 2.0034,             0.00017243,             0.00017243,             0.00017243
                    130,                0.83575,                 1.0092,                 1.3099,                0.49923,                 0.4857,                0.45858,                0.30355,                 1.5274,                 2.0385,                 2.0527,             0.00016509,             0.00016509,             0.00016509
                    131,                0.82784,                0.96689,                  1.302,                0.58533,                0.42997,                0.47593,                0.32198,                 1.5196,                 1.9868,                  2.016,             0.00015776,             0.00015776,             0.00015776
                    132,                0.85697,                0.99097,                   1.32,                 0.5736,                0.49945,                0.48415,                0.32925,                 1.4745,                 1.8885,                  1.982,             0.00015043,             0.00015043,             0.00015043
                    133,                0.82787,                0.97073,                 1.2868,                0.46708,                0.50348,                0.47244,                0.31494,                 1.5156,                 2.0111,                 2.0109,              0.0001431,              0.0001431,              0.0001431
                    134,                0.81499,                0.97025,                 1.2885,                 0.5573,                0.51906,                0.48794,                0.32716,                 1.5024,                 2.0255,                 2.0239,             0.00013576,             0.00013576,             0.00013576
                    135,                0.81027,                0.95599,                 1.2769,                0.47838,                0.50122,                 0.4697,                0.30729,                 1.5067,                 2.0476,                 2.0278,             0.00012843,             0.00012843,             0.00012843
                    136,                0.81116,                 0.9332,                 1.2808,                0.55606,                0.50483,                0.50294,                0.33531,                 1.4728,                 2.0234,                 2.0106,              0.0001211,              0.0001211,              0.0001211
                    137,                0.80704,                0.93999,                  1.276,                0.61203,                0.49498,                0.50269,                0.32444,                  1.525,                 2.0326,                 2.0559,             0.00011377,             0.00011377,             0.00011377
                    138,                 0.7957,                0.93639,                 1.2732,                0.53461,                 0.5008,                0.49977,                0.33569,                 1.5075,                 1.9795,                 2.0155,             0.00010643,             0.00010643,             0.00010643
                    139,                0.80729,                 0.9348,                 1.2865,                 0.5288,                0.54276,                0.51401,                0.33215,                 1.5257,                 2.0267,                 2.0189,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    140,                0.78129,                0.92406,                 1.2702,                0.64074,                0.45093,                0.51834,                 0.3442,                  1.476,                 1.9481,                 1.9773,             9.1769e-05,             9.1769e-05,             9.1769e-05
